run,step,tag,value
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,135,train_acc,70.2699966430664
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,136,train_acc,70.4000015258789
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,137,train_acc,70.50799560546875
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,138,train_acc,70.4959945678711
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,139,train_acc,70.28399658203125
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,140,train_acc,70.71599578857422
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,141,train_acc,70.23600006103516
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,142,train_acc,70.33799743652344
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,143,train_acc,70.47999572753906
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,144,train_acc,70.4219970703125
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,145,train_acc,70.47599792480469
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,146,train_acc,70.3759994506836
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,147,train_acc,70.39399719238281
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,148,train_acc,70.39199829101562
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,149,train_acc,70.44599914550781
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,150,train_acc,70.79399871826172
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,151,train_acc,79.00999450683594
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,152,train_acc,81.11000061035156
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,153,train_acc,82.11599731445312
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,154,train_acc,82.65599822998047
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,155,train_acc,83.13600158691406
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,156,train_acc,83.76799774169922
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,157,train_acc,83.91799926757812
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,158,train_acc,84.32599639892578
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,159,train_acc,84.57999420166016
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,160,train_acc,84.78199768066406
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,161,train_acc,85.00999450683594
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,162,train_acc,85.20999908447266
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,163,train_acc,85.5219955444336
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,164,train_acc,85.69200134277344
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,165,train_acc,86.0
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,166,train_acc,86.19200134277344
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,167,train_acc,86.01200103759766
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,168,train_acc,86.1240005493164
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,169,train_acc,86.22599792480469
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,170,train_acc,86.36799621582031
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,171,train_acc,86.23199462890625
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,172,train_acc,86.4280014038086
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,173,train_acc,86.41199493408203
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,174,train_acc,86.41600036621094
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,175,train_acc,86.5979995727539
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,176,train_acc,86.67599487304688
